Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
15,19-02-2010,660838.75,0,27.54,2.909,131.637,8.35
15,26-02-2010,564883.2,0,29.87,2.91,131.686,8.35
16,05-02-2010,477409.3,0,19.79,2.58,189.3816974,7.039
16,12-02-2010,472044.28,1,20.87,2.572,189.4642725,7.039
16,19-02-2010,469868.7,0,21.13,2.55,189.5340998,7.039
16,26-02-2010,443242.17,0,18.12,2.586,189.6018023,7.039
17,05-02-2010,789036.02,0,23.11,2.666,126.4420645,6.548
17,12-02-2010,841951.91,1,18.36,2.671,126.4962581,6.548
17,19-02-2010,800714.0,0,25.06,2.654,126.5262857,6.548
17,26-02-2010,749549.55,0,15.64,2.667,126.5522857,6.548
18,05-02-2010,1205307.5,0,21.33,2.788,131.5279032,9.202
18,12-02-2010,1187880.7,1,26.41,2.771,131.5866129,9.202
18,19-02-2010,1150663.42,0,30.91,2.747,131.637,9.202
18,26-02-2010,1068157.45,0,35.42,2.753,131.686,9.202
19,05-02-2010,1507637.17,0,20.96,2.954,131.5279032,8.35
19,12-02-2010,1536549.95,1,23.22,2.94,131.5866129,8.35
19,19-02-2010,1515976.11,0,28.57,2.909,131.637,8.35
19,26-02-2010,1373270.06,0,30.33,2.91,131.686,8.35
20,05-02-2010,2401395.47,0,25.92,2.784,204.2471935,8.187
20,12-02-2010,2109107.9,1,22.12,2.773,204.3857472,8.187
20,19-02-2010,2161549.76,0,25.43,2.745,204.4321004,8.187
20,26-02-2010,1898193.95,0,32.32,2.754,204.4630869,8.187
21,05-02-2010,798593.88,0,39.05,2.572,210.7526053,8.324
21,12-02-2010,809321.44,1,37.77,2.548,210.8979935,8.324
21,19-02-2010,867283.25,0,39.75,2.514,210.9451605,8.324
21,26-02-2010,749597.24,0,45.31,2.561,210.9759573,8.324
22,05-02-2010,1033017.37,0,24.36,2.788,135.3524608,8.283
22,12-02-2010,1022571.25,1,28.14,2.771,135.4113076,8.283
22,19-02-2010,988467.61,0,31.96,2.747,135.4657781,8.283
22,26-02-2010,899761.48,0,35.98,2.753,135.5195191,8.283
23,05-02-2010,1364721.58,0,15.25,2.788,131.5279032,5.892
23,12-02-2010,1380892.08,1,18.75,2.771,131.5866129,5.892
23,19-02-2010,1319588.04,0,26.7,2.747,131.637,5.892
23,26-02-2010,1198709.65,0,32.68,2.753,131.686,5.892
24,05-02-2010,1388725.63,0,22.43,2.954,131.5279032,8.326
24,12-02-2010,1414107.1,1,25.94,2.94,131.5866129,8.326
24,19-02-2010,1385362.49,0,31.05,2.909,131.637,8.326
24,26-02-2010,1158722.74,0,33.98,2.91,131.686,8.326
25,05-02-2010,677231.63,0,21.1,2.784,204.2471935,8.187
25,12-02-2010,583364.02,1,19.64,2.773,204.3857472,8.187
25,19-02-2010,676260.67,0,24.16,2.745,204.4321004,8.187
25,26-02-2010,628516.57,0,29.16,2.754,204.4630869,8.187
26,05-02-2010,1034119.21,0,9.55,2.788,131.5279032,8.488
26,12-02-2010,1015684.09,1,18.14,2.771,131.5866129,8.488
26,19-02-2010,999348.55,0,22.62,2.747,131.637,8.488
26,26-02-2010,855385.01,0,27.32,2.753,131.686,8.488
27,05-02-2010,1874289.79,0,27.19,2.954,135.3524608,8.237
27,12-02-2010,1745362.72,1,29.81,2.94,135.4113076,8.237
27,19-02-2010,1945070.33,0,32.44,2.909,135.4657781,8.237
27,26-02-2010,1390934.27,0,36.0,2.91,135.5195191,8.237
28,05-02-2010,1672352.29,0,49.47,2.962,126.4420645,13.975
28,12-02-2010,1558968.49,1,47.87,2.946,126.4962581,13.975
28,19-02-2010,1491300.42,0,54.83,2.915,126.5262857,13.975
28,26-02-2010,1542173.33,0,50.23,2.825,126.5522857,13.975
29,05-02-2010,538634.46,0,24.36,2.788,131.5279032,10.064
29,12-02-2010,529672.95,1,28.14,2.771,131.5866129,10.064
29,19-02-2010,542399.07,0,31.96,2.747,131.637,10.064
29,26-02-2010,488417.61,0,35.98,2.753,131.686,10.064
30,05-02-2010,465108.52,0,39.05,2.572,210.7526053,8.324
30,12-02-2010,497374.57,1,37.77,2.548,210.8979935,8.324
30,19-02-2010,463513.26,0,39.75,2.514,210.9451605,8.324
30,26-02-2010,472330.71,0,45.31,2.561,210.9759573,8.324
31,05-02-2010,1469252.05,0,39.05,2.572,210.7526053,8.324
31,12-02-2010,1543947.23,1,37.77,2.548,210.8979935,8.324
31,19-02-2010,1473386.75,0,39.75,2.514,210.9451605,8.324
31,26-02-2010,1344354.41,0,45.31,2.561,210.9759573,8.324
32,05-02-2010,1087616.19,0,34.43,2.58,189.3816974,9.014
32,12-02-2010,1123566.12,1,28.09,2.572,189.4642725,9.014
32,19-02-2010,1082559.06,0,29.16,2.55,189.5340998,9.014
32,26-02-2010,1053247.1,0,26.64,2.586,189.6018023,9.014
33,05-02-2010,274593.43,0,58.4,2.962,126.4420645,10.115
33,12-02-2010,294882.83,1,55.47,2.828,126.4962581,10.115
33,19-02-2010,296850.83,0,62.16,2.915,126.5262857,10.115
33,26-02-2010,284052.77,0,56.5,2.825,126.5522857,10.115
34,05-02-2010,956228.96,0,35.44,2.598,126.4420645,9.521
34,12-02-2010,994610.99,1,36.13,2.573,126.4962581,9.521
34,19-02-2010,983963.07,0,38.36,2.54,126.5262857,9.521
34,26-02-2010,905756.13,0,37.28,2.59,126.5522857,9.521
35,05-02-2010,1230613.5,0,27.19,2.784,135.3524608,9.262
35,12-02-2010,1168815.31,1,29.81,2.773,135.4113076,9.262
35,19-02-2010,1270658.64,0,32.44,2.745,135.4657781,9.262
35,26-02-2010,1020651.74,0,36.0,2.754,135.5195191,9.262
36,05-02-2010,467546.74,0,45.97,2.545,209.8529663,8.554
36,12-02-2010,469563.7,1,46.11,2.539,209.9970208,8.554
36,19-02-2010,470281.03,0,45.66,2.472,210.0451024,8.554
36,26-02-2010,447519.44,0,50.87,2.52,210.0771885,8.554
37,05-02-2010,536006.73,0,45.97,2.572,209.8529663,8.554
37,12-02-2010,529852.7,1,46.11,2.548,209.9970208,8.554
37,19-02-2010,510382.5,0,45.66,2.514,210.0451024,8.554
37,26-02-2010,513615.82,0,50.87,2.561,210.0771885,8.554
38,05-02-2010,358496.14,0,49.47,2.962,126.4420645,13.975
38,12-02-2010,342214.9,1,47.87,2.946,126.4962581,13.975
38,19-02-2010,327237.92,0,54.83,2.915,126.5262857,13.975
38,26-02-2010,334222.73,0,50.23,2.825,126.5522857,13.975
39,05-02-2010,1230596.8,0,44.3,2.572,209.8529663,8.554
39,12-02-2010,1266229.07,1,44.58,2.548,209.9970208,8.554
39,19-02-2010,1230591.97,0,43.96,2.514,210.0451024,8.554
39,26-02-2010,1168582.02,0,49.79,2.561,210.0771885,8.554
40,05-02-2010,1001943.8,0,14.48,2.788,131.5279032,5.892
40,12-02-2010,955338.29,1,20.84,2.771,131.5866129,5.892
40,19-02-2010,916289.2,0,27.84,2.747,131.637,5.892
40,26-02-2010,863917.41,0,33.32,2.753,131.686,5.892
41,05-02-2010,1086533.18,0,30.27,2.58,189.3816974,7.541
41,12-02-2010,1075656.34,1,23.04,2.572,189.4642725,7.541
41,19-02-2010,1052034.74,0,24.13,2.55,189.5340998,7.541
41,26-02-2010,991941.73,0,21.84,2.586,189.6018023,7.541
42,05-02-2010,543384.01,0,54.34,2.962,126.4420645,9.765
42,12-02-2010,575709.96,1,49.96,2.828,126.4962581,9.765
42,19-02-2010,508794.87,0,58.22,2.915,126.5262857,9.765
42,26-02-2010,491510.58,0,52.77,2.825,126.5522857,9.765
43,05-02-2010,647029.28,0,47.31,2.572,203.0642742,9.521
43,12-02-2010,682918.99,1,47.99,2.548,203.2010968,9.521
43,19-02-2010,658997.55,0,48.77,2.514,203.2479796,9.521
43,26-02-2010,618702.79,0,48.77,2.561,203.2798724,9.521
44,05-02-2010,281090.95,0,31.53,2.666,126.4420645,8.119
44,12-02-2010,286857.13,1,33.16,2.671,126.4962581,8.119
44,19-02-2010,267956.3,0,35.7,2.654,126.5262857,8.119
44,26-02-2010,273079.07,0,29.98,2.667,126.5522857,8.119
45,05-02-2010,890689.51,0,27.31,2.784,181.8711898,8.992
45,12-02-2010,656988.64,1,27.73,2.773,181.982317,8.992
45,19-02-2010,841264.04,0,31.27,2.745,182.0347816,8.992
45,26-02-2010,741891.65,0,34.89,2.754,182.0774691,8.992
